Размер N   Время выполнения, мс      Количество итераций
100        2,16472                   4275      
200        1,77262                   8423      
300        1,79601                   12669     
400        1,44917                   17120     
500        2,88343                   21396     
600        2,92437                   26201     
700        2,87152                   30291     
800        4,4174                    34503     
900        3,55807                   39166     
1000       5,03272                   43668     
1100       5,19197                   47509     
1200       6,89516                   53695     
1300       6,55086                   57131     
1400       7,45026                   60729     
1500       7,29365                   65009     
1600       8,8963                    69859     
1700       8,90734                   74111     
1800       9,22226                   79056     
1900       11,99732                  84467     
2000       10,69387                  87832     
2100       10,1864                   92887     
2200       12,17469                  98215     
2300       12,04295                  102030    
2400       13,16347                  107876    
2500       12,89191                  109001    
2600       13,07683                  114058    
2700       16,12354                  122208    
2800       15,59205                  121326    
2900       17,15439                  129993    
3000       16,20136                  134109    
3100       18,00611                  138379    
3200       17,59252                  145649    
3300       17,64253                  144497    
3400       19,61912                  148964    
3500       21,37843                  159447    
3600       20,99946                  156956    
3700       20,58304                  162363    
3800       19,77387                  166409    
3900       22,04602                  171228    
4000       23,0322                   176368    
4100       22,95475                  181181    
4200       26,58116                  185986    
4300       26,45241                  191824    
4400       23,94345                  193649    
4500       26,44768                  201415    
4600       25,91888                  203949    
4700       28,10028                  205954    
4800       26,86433                  208717    
4900       32,29323                  215153    
5000       35,8964                   221446    
5100       28,37437                  229452    
5200       35,84908                  238055    
5300       36,59428                  239647    
5400       33,75741                  237333    
5500       30,83674                  241991    
5600       33,25131                  248986    
5700       34,78411                  256920    
5800       41,47968                  262230    
5900       33,63633                  261963    
6000       34,75096                  263535    
6100       35,89618                  276069    
6200       38,29515                  275505    
6300       42,149                    281845    
6400       39,53446                  282594    
6500       35,54857                  284546    
6600       46,48549                  306407    
6700       46,64929                  307274    
6800       48,16125                  310182    
6900       40,30003                  311108    
7000       44,75392                  317503    
7100       39,36693                  321094    
7200       54,39675                  320216    
7300       44,69175                  330661    
7400       46,10179                  331220    
7500       50,7214                   334501    
7600       46,24741                  338353    
7700       48,08214                  350250    
7800       45,10515                  342360    
7900       45,59515                  351154    
8000       46,46356                  352852    
8100       45,92815                  357840    
8200       48,21756                  361896    
8300       59,33791                  366352    
8400       45,19481                  368734    
8500       58,90504                  385130    
8600       47,24235                  382342    
8700       55,73691                  384582    
8800       53,06281                  393884    
8900       57,04295                  398731    
9000       53,83014                  403321    
9100       54,53226                  407444    
9200       54,35561                  408043    
9300       50,27846                  422504    
9400       54,19731                  420255    
9500       60,16765                  432841    
9600       54,43928                  426523    
9700       62,93808                  436820    
9800       58,44766                  435254    
9900       58,45376                  443025    
10000      59,75379                  446642    
